,subject_name,slice,batch,number_of_lesion,sum_voxel,max_size
0,sub-r001s003,85,1,,,
1,sub-r042s008,60,1,,,
2,sub-r009s020,72,1,,,
3,sub-r035s013,169,1,,,
4,sub-r009s004,31,1,,,
5,sub-r027s052,148,1,,,
6,sub-r042s004,70,1,,,
7,sub-r001s003,95,1,,,
8,sub-r011s016,25,1,,,
9,sub-r005s075,91,1,,,
10,sub-r042s004,168,1,,,
11,sub-r009s074,27,1,,,
12,sub-r004s018,23,1,,,
13,sub-r003s013,85,1,,,
14,sub-r015s001,139,1,,,
15,sub-r009s043,28,1,,,
16,sub-r003s008,73,2,,,
17,sub-r010s018,81,2,,,
18,sub-r049s011,85,2,,,
19,sub-r031s012,42,2,,,
20,sub-r011s001,75,2,,,
21,sub-r004s012,75,2,,,
22,sub-r009s013,34,2,,,
23,sub-r009s071,4,2,,,
24,sub-r009s016,30,2,,,
25,sub-r035s005,67,2,,,
26,sub-r009s013,187,2,,,
27,sub-r009s071,135,2,,,
28,sub-r009s005,84,2,,,
29,sub-r009s041,86,2,,,
30,sub-r029s004,47,2,,,
31,sub-r009s071,72,2,,,
32,sub-r049s026,175,3,,,
33,sub-r005s049,14,3,,,
34,sub-r038s006,63,3,,,
35,sub-r010s022,67,3,,,
36,sub-r040s059,25,3,,,
37,sub-r049s026,154,3,,,
38,sub-r050s002,180,3,,,
39,sub-r010s018,181,3,,,
40,sub-r040s016,20,3,,,
41,sub-r040s017,173,3,,,
42,sub-r009s043,5,3,,,
43,sub-r028s002,130,3,,,
44,sub-r040s017,6,3,,,
45,sub-r035s013,36,3,,,
46,sub-r009s009,181,3,,,
47,sub-r011s016,16,3,,,
48,sub-r004s031,59,4,,,
49,sub-r050s002,153,4,,,
50,sub-r009s017,51,4,,,
51,sub-r027s031,16,4,,,
52,sub-r042s032,12,4,,,
53,sub-r040s059,168,4,,,
54,sub-r048s014,148,4,,,
55,sub-r011s016,165,4,,,
56,sub-r038s067,56,4,,,
57,sub-r009s041,161,4,,,
58,sub-r042s004,176,4,,,
59,sub-r042s003,58,4,,,
60,sub-r009s009,90,4,,,
61,sub-r052s007,147,4,,,
62,sub-r009s063,158,4,,,
63,sub-r038s017,163,4,,,
64,sub-r009s089,151,5,,,
65,sub-r019s001,186,5,,,
66,sub-r010s012,145,5,,,
67,sub-r031s012,154,5,,,
68,sub-r009s108,3,5,,,
69,sub-r009s115,6,5,,,
70,sub-r009s009,128,5,,,
71,sub-r049s026,124,5,,,
72,sub-r003s001,23,5,,,
73,sub-r018s011,6,5,,,
74,sub-r038s067,95,5,,,
75,sub-r038s057,138,5,,,
76,sub-r029s009,95,5,,,
77,sub-r047s041,4,5,,,
78,sub-r040s017,179,5,,,
79,sub-r031s025,12,5,,,
80,sub-r003s008,70,6,,,
81,sub-r038s049,14,6,,,
82,sub-r010s006,68,6,,,
83,sub-r042s023,39,6,,,
84,sub-r009s054,105,6,,,
85,sub-r009s041,78,6,,,
86,sub-r009s020,121,6,,,
87,sub-r034s012,12,6,,,
88,sub-r052s019,1,6,,,
89,sub-r040s017,64,6,,,
90,sub-r005s075,169,6,,,
91,sub-r010s022,143,6,,,
92,sub-r048s014,94,6,,,
93,sub-r009s064,27,6,,,
94,sub-r031s035,17,6,,,
95,sub-r042s010,10,6,,,
96,sub-r050s002,168,7,,,
97,sub-r040s004,88,7,,,
98,sub-r040s004,0,7,,,
99,sub-r009s089,145,7,,,
100,sub-r038s006,55,7,,,
101,sub-r038s057,62,7,,,
102,sub-r001s016,26,7,,,
103,sub-r001s003,40,7,,,
104,sub-r046s001,52,7,,,
105,sub-r018s007,6,7,,,
106,sub-r027s052,80,7,,,
107,sub-r028s002,28,7,,,
108,sub-r005s049,103,7,,,
109,sub-r029s009,160,7,,,
110,sub-r015s008,65,7,,,
111,sub-r040s049,23,7,,,
112,sub-r010s012,57,8,,,
113,sub-r050s002,102,8,,,
114,sub-r011s001,136,8,,,
115,sub-r038s014,12,8,,,
116,sub-r042s010,81,8,,,
117,sub-r001s016,108,8,,,
118,sub-r040s046,106,8,,,
119,sub-r038s021,1,8,,,
120,sub-r001s003,16,8,,,
121,sub-r045s002,50,8,,,
122,sub-r011s010,58,8,,,
123,sub-r034s012,145,8,,,
124,sub-r009s074,81,8,,,
125,sub-r027s052,60,8,,,
126,sub-r001s003,166,8,,,
127,sub-r042s023,14,8,,,
128,sub-r005s075,10,9,,,
129,sub-r042s015,179,9,,,
130,sub-r034s039,74,9,,,
131,sub-r009s064,116,9,,,
132,sub-r004s005,10,9,,,
133,sub-r042s003,3,9,,,
134,sub-r009s043,166,9,,,
135,sub-r004s018,79,9,,,
136,sub-r009s016,140,9,,,
137,sub-r003s001,188,9,,,
138,sub-r001s003,172,9,,,
139,sub-r002s010,65,9,,,
140,sub-r040s017,96,9,,,
141,sub-r010s019,113,9,,,
142,sub-r009s108,157,9,,,
143,sub-r048s008,39,9,,,
144,sub-r011s022,170,10,,,
145,sub-r015s008,7,10,,,
146,sub-r038s017,9,10,,,
147,sub-r038s006,6,10,,,
148,sub-r009s005,137,10,,,
149,sub-r019s001,56,10,,,
150,sub-r042s008,185,10,,,
151,sub-r049s011,167,10,,,
152,sub-r034s012,72,10,,,
153,sub-r038s006,98,10,,,
154,sub-r027s048,29,10,,,
155,sub-r047s041,44,10,,,
156,sub-r009s043,4,10,,,
157,sub-r017s104,42,10,,,
158,sub-r048s008,75,10,,,
159,sub-r003s013,171,10,,,
160,sub-r042s010,74,11,,,
161,sub-r038s014,10,11,,,
162,sub-r009s071,21,11,,,
163,sub-r004s005,88,11,,,
164,sub-r040s086,22,11,,,
165,sub-r009s014,62,11,,,
166,sub-r034s021,53,11,,,
167,sub-r047s035,8,11,,,
168,sub-r009s012,103,11,,,
169,sub-r009s005,3,11,,,
170,sub-r003s001,2,11,,,
171,sub-r009s115,121,11,,,
172,sub-r010s006,55,11,,,
173,sub-r019s001,157,11,,,
174,sub-r035s013,187,11,,,
175,sub-r038s017,34,11,,,
176,sub-r005s015,28,12,,,
177,sub-r028s002,1,12,,,
178,sub-r004s008,84,12,,,
179,sub-r002s005,137,12,,,
180,sub-r009s016,183,12,,,
181,sub-r029s009,5,12,,,
182,sub-r038s022,49,12,,,
183,sub-r034s012,87,12,,,
184,sub-r040s016,155,12,,,
185,sub-r009s089,155,12,,,
186,sub-r052s007,92,12,,,
187,sub-r002s005,165,12,,,
188,sub-r047s035,144,12,,,
189,sub-r009s089,3,12,,,
190,sub-r028s002,164,12,,,
191,sub-r040s017,150,12,,,
192,sub-r047s014,84,13,,,
193,sub-r038s089,182,13,,,
194,sub-r019s001,59,13,,,
195,sub-r009s064,84,13,,,
196,sub-r002s010,6,13,,,
197,sub-r018s007,188,13,,,
198,sub-r040s049,170,13,,,
199,sub-r009s013,123,13,,,
200,sub-r010s012,171,13,,,
201,sub-r011s016,28,13,,,
202,sub-r034s012,143,13,,,
203,sub-r010s018,152,13,,,
204,sub-r010s022,157,13,,,
205,sub-r003s010,145,13,,,
206,sub-r052s019,39,13,,,
207,sub-r040s049,6,13,,,
208,sub-r038s093,85,14,,,
209,sub-r010s012,111,14,,,
210,sub-r009s115,75,14,,,
211,sub-r009s074,25,14,,,
212,sub-r040s016,157,14,,,
213,sub-r038s093,81,14,,,
214,sub-r001s003,67,14,,,
215,sub-r045s002,7,14,,,
216,sub-r009s108,179,14,,,
217,sub-r015s001,151,14,,,
218,sub-r004s005,174,14,,,
219,sub-r019s008,29,14,,,
220,sub-r040s016,176,14,,,
221,sub-r009s013,52,14,,,
222,sub-r004s018,50,14,,,
223,sub-r049s011,100,14,,,
224,sub-r040s086,50,15,,,
225,sub-r038s067,21,15,,,
226,sub-r038s049,31,15,,,
227,sub-r009s014,148,15,,,
228,sub-r004s008,74,15,,,
229,sub-r042s023,185,15,,,
230,sub-r038s021,136,15,,,
231,sub-r009s115,99,15,,,
232,sub-r040s031,44,15,,,
233,sub-r018s011,87,15,,,
234,sub-r004s031,23,15,,,
235,sub-r017s110,187,15,,,
236,sub-r004s022,79,15,,,
237,sub-r031s012,6,15,,,
238,sub-r048s008,71,15,,,
239,sub-r034s012,129,15,,,
240,sub-r009s071,175,16,,,
241,sub-r034s012,79,16,,,
242,sub-r010s018,67,16,,,
243,sub-r009s020,35,16,,,
244,sub-r040s086,8,16,,,
245,sub-r038s006,100,16,,,
246,sub-r035s005,88,16,,,
247,sub-r031s035,186,16,,,
248,sub-r009s089,146,16,,,
249,sub-r048s014,33,16,,,
250,sub-r047s039,44,16,,,
251,sub-r027s052,179,16,,,
252,sub-r009s014,135,16,,,
253,sub-r009s016,134,16,,,
254,sub-r004s022,55,16,,,
255,sub-r038s022,46,16,,,
256,sub-r019s008,79,17,,,
257,sub-r027s032,6,17,,,
258,sub-r003s003,179,17,,,
259,sub-r009s014,175,17,,,
260,sub-r042s023,34,17,,,
261,sub-r004s035,9,17,,,
262,sub-r040s046,3,17,,,
263,sub-r009s071,140,17,,,
264,sub-r011s016,184,17,,,
265,sub-r011s016,59,17,,,
266,sub-r042s003,188,17,,,
267,sub-r009s014,25,17,,,
268,sub-r047s035,167,17,,,
269,sub-r010s019,185,17,,,
270,sub-r005s049,83,17,,,
271,sub-r004s005,180,17,,,
272,sub-r010s019,37,18,,,
273,sub-r010s018,155,18,,,
274,sub-r015s008,61,18,,,
275,sub-r005s075,61,18,,,
276,sub-r009s108,174,18,,,
277,sub-r035s013,171,18,,,
278,sub-r035s005,23,18,,,
279,sub-r018s011,28,18,,,
280,sub-r038s067,102,18,,,
281,sub-r004s018,89,18,,,
282,sub-r011s001,22,18,,,
283,sub-r042s004,37,18,,,
284,sub-r028s002,178,18,,,
285,sub-r048s032,35,18,,,
286,sub-r040s016,165,18,,,
287,sub-r009s074,39,18,,,
288,sub-r009s004,16,19,,,
