subject_name,slice,batch
sub-r001s003,85,1
sub-r042s008,60,1
sub-r009s020,72,1
sub-r035s013,169,1
sub-r009s004,31,1
sub-r027s052,148,1
sub-r042s004,70,1
sub-r001s003,95,1
sub-r011s016,25,1
sub-r005s075,91,1
sub-r042s004,168,1
sub-r009s074,27,1
sub-r004s018,23,1
sub-r003s013,85,1
sub-r015s001,139,1
sub-r009s043,28,1
sub-r003s008,73,1
sub-r010s018,81,1
sub-r049s011,85,1
sub-r031s012,42,1
sub-r011s001,75,1
sub-r004s012,75,1
sub-r009s013,34,1
sub-r009s071,4,1
sub-r009s016,30,1
sub-r035s005,67,1
sub-r009s013,187,1
sub-r009s071,135,1
sub-r009s005,84,1
sub-r009s041,86,1
sub-r029s004,47,1
sub-r009s071,72,1
sub-r049s026,175,2
sub-r005s049,14,2
sub-r038s006,63,2
sub-r010s022,67,2
sub-r040s059,25,2
sub-r049s026,154,2
sub-r050s002,180,2
sub-r010s018,181,2
sub-r040s016,20,2
sub-r040s017,173,2
sub-r009s043,5,2
sub-r028s002,130,2
sub-r040s017,6,2
sub-r035s013,36,2
sub-r009s009,181,2
sub-r011s016,16,2
sub-r004s031,59,2
sub-r050s002,153,2
sub-r009s017,51,2
sub-r027s031,16,2
sub-r042s032,12,2
sub-r040s059,168,2
sub-r048s014,148,2
sub-r011s016,165,2
sub-r038s067,56,2
sub-r009s041,161,2
sub-r042s004,176,2
sub-r042s003,58,2
sub-r009s009,90,2
sub-r052s007,147,2
sub-r009s063,158,2
sub-r038s017,163,2
sub-r009s089,151,3
sub-r019s001,186,3
sub-r010s012,145,3
sub-r031s012,154,3
sub-r009s108,3,3
sub-r009s115,6,3
sub-r009s009,128,3
sub-r049s026,124,3
sub-r003s001,23,3
sub-r018s011,6,3
sub-r038s067,95,3
sub-r038s057,138,3
sub-r029s009,95,3
sub-r047s041,4,3
sub-r040s017,179,3
sub-r031s025,12,3
sub-r003s008,70,3
sub-r038s049,14,3
sub-r010s006,68,3
sub-r042s023,39,3
sub-r009s054,105,3
sub-r009s041,78,3
sub-r009s020,121,3
sub-r034s012,12,3
sub-r052s019,1,3
sub-r040s017,64,3
sub-r005s075,169,3
sub-r010s022,143,3
sub-r048s014,94,3
sub-r009s064,27,3
sub-r031s035,17,3
sub-r042s010,10,3
sub-r050s002,168,4
sub-r040s004,88,4
sub-r040s004,0,4
sub-r009s089,145,4
sub-r038s006,55,4
sub-r038s057,62,4
sub-r001s016,26,4
sub-r001s003,40,4
sub-r046s001,52,4
sub-r018s007,6,4
sub-r027s052,80,4
sub-r028s002,28,4
sub-r005s049,103,4
sub-r029s009,160,4
sub-r015s008,65,4
sub-r040s049,23,4
sub-r010s012,57,4
sub-r050s002,102,4
sub-r011s001,136,4
sub-r038s014,12,4
sub-r042s010,81,4
sub-r001s016,108,4
sub-r040s046,106,4
sub-r038s021,1,4
sub-r001s003,16,4
sub-r045s002,50,4
sub-r011s010,58,4
sub-r034s012,145,4
sub-r009s074,81,4
sub-r027s052,60,4
sub-r001s003,166,4
sub-r042s023,14,4
sub-r005s075,10,5
sub-r042s015,179,5
sub-r034s039,74,5
sub-r009s064,116,5
sub-r004s005,10,5
sub-r042s003,3,5
sub-r009s043,166,5
sub-r004s018,79,5
sub-r009s016,140,5
sub-r003s001,188,5
sub-r001s003,172,5
sub-r002s010,65,5
sub-r040s017,96,5
sub-r010s019,113,5
sub-r009s108,157,5
sub-r048s008,39,5
sub-r011s022,170,5
sub-r015s008,7,5
sub-r038s017,9,5
sub-r038s006,6,5
sub-r009s005,137,5
sub-r019s001,56,5
sub-r042s008,185,5
sub-r049s011,167,5
sub-r034s012,72,5
sub-r038s006,98,5
sub-r027s048,29,5
sub-r047s041,44,5
