subject,mean_dice_before,mean_dice_after,mean_precision_before,mean_precision_after,mean_recall_before,mean_recall_after
sub-r004s026_ses-1_space-MNI152NLin2009aSym,0.8287040251570708,0.7895347268471212,0.902715914459596,0.9381073917272726,0.8411720603156566,0.7977171499304545
sub-r009s003_ses-1_space-MNI152NLin2009aSym,0.8397681739565658,0.8246463507757575,0.91388605305,0.9128538665919192,0.8962898344045453,0.8943319056782829
sub-r031s008_ses-1_space-MNI152NLin2009aSym,0.7147941450525253,0.791314166179293,0.7320943636914141,0.7897617640378788,0.9272720789772728,0.9535143487626264
sub-r031s024_ses-1_space-MNI152NLin2009aSym,0.7808032697065657,0.8273208578439394,0.956138154419192,0.9825652985858584,0.781687569999495,0.8135558655661617
sub-r023s014_ses-1_space-MNI152NLin2009aSym,0.9337832584010102,0.9700494323232324,0.956450857459596,0.97888455510101,0.9565591945676768,0.9710394084848484
sub-r009s083_ses-1_space-MNI152NLin2009aSym,0.8543333082348484,0.9243809309292929,0.8988290933131312,0.9363358746969696,0.92066593264899,0.947593689919192
sub-r031s010_ses-1_space-MNI152NLin2009aSym,0.7559938098989898,0.8502955487575757,0.8049612593383838,0.8585730953333334,0.8905442926313131,0.9205355811363636
sub-r011s018_ses-1_space-MNI152NLin2009aSym,0.8779697078106061,0.9263723158585858,0.8771835595732324,0.9416840276414142,0.9696653208232324,0.9546149712626264
sub-r031s001_ses-1_space-MNI152NLin2009aSym,0.8476831395323232,0.9078162094090908,0.8653178888535354,0.879955431580808,0.9237488324969696,0.9768369354545456
sub-r010s028_ses-1_space-MNI152NLin2009aSym,0.8760733292828282,0.8771429511464647,0.9415619378484849,0.9683958046767676,0.8747070218131314,0.8728696622323233
sub-r004s034_ses-1_space-MNI152NLin2009aSym,0.907288362887576,0.9514886880151516,0.928987513140606,0.9435283871060606,0.9510565646686868,0.9821515123737372
sub-r028s009_ses-1_space-MNI152NLin2009aSym,0.7216033265186869,0.7707220954090909,0.745001397510606,0.8349313028636364,0.8842542164656566,0.8833284892272727
sub-r009s118_ses-1_space-MNI152NLin2009aSym,0.9332309076262626,0.9283661374444444,0.9660642466666668,0.971399732020202,0.9511474496464646,0.9381683399949496
sub-r031s018_ses-1_space-MNI152NLin2009aSym,0.8693377902782828,0.9276689334848484,0.917851443131818,0.9586375494242424,0.934283864419192,0.9480650541414142
sub-r009s044_ses-1_space-MNI152NLin2009aSym,0.6720533479818183,0.65037219429899,0.9596295101515152,0.8882141213030302,0.667522027610101,0.6674271470727272
sub-r040s076_ses-1_space-MNI152NLin2009aSym,0.8310688156545454,0.9399989015338382,0.8456141718919192,0.9356461099681818,0.9382403513838384,0.964960131060606
sub-r009s103_ses-1_space-MNI152NLin2009aSym,0.7157464565621212,0.8288526983939394,0.7753504630979797,0.8610207073737374,0.8340273165010103,0.8779918430050506
sub-r027s047_ses-1_space-MNI152NLin2009aSym,0.9131425576727272,0.9484496957878789,0.9206685948848484,0.9409809378080808,0.965560066969697,0.9835309745454546
sub-r047s050_ses-1_space-MNI152NLin2009aSym,0.8154589868757576,0.8658375533207071,0.86959036290101,0.9207400309949496,0.9052495536262626,0.9082135206565658
sub-r042s018_ses-1_space-MNI152NLin2009aSym,0.8783407680689393,0.9196434431829796,0.9510443995858586,0.9744823168686868,0.8933613816699495,0.9082610852132827
sub-r031s017_ses-1_space-MNI152NLin2009aSym,0.8900653852272729,0.9167509251717172,0.9384858513686868,0.9422895861111112,0.9388440652727272,0.9418131646666666
sub-r004s029_ses-1_space-MNI152NLin2009aSym,0.7745107407956566,0.8428813135252525,0.9354849682274748,0.9692655167171718,0.7835990791388888,0.8195575889949497
sub-r003s005_ses-1_space-MNI152NLin2009aSym,0.8413177696940909,0.9463891934767676,0.8369991316016667,0.9230071052949496,0.9689413037590908,0.9928342831818182
sub-r001s007_ses-1_space-MNI152NLin2009aSym,0.92785159664899,0.9437751796161616,0.9153141309545454,0.9363238498484848,0.9763780354545456,0.971245062979798
sub-r038s084_ses-1_space-MNI152NLin2009aSym,0.7379075058212122,0.8626121008787879,0.7479938637661616,0.8673475551464648,0.9184784213176768,0.9305020759898988
sub-r040s045_ses-1_space-MNI152NLin2009aSym,0.7487124577979798,0.9532570343030304,0.7593237178969696,0.9731804437373738,0.960154078060606,0.9600640209747476
sub-r004s002_ses-1_space-MNI152NLin2009aSym,0.9090175222121212,0.9098339224040404,0.9186825418989898,0.9135444224040404,0.934199848040404,0.960634507550505
sub-r031s015_ses-1_space-MNI152NLin2009aSym,0.6798605828181817,0.8224172295580808,0.7348371613383838,0.923787180939394,0.8510512466136363,0.8441890131893939
sub-r015s018_ses-1_space-MNI152NLin2009aSym,0.9401052286242424,0.9116565158484848,0.9886244421717172,1.0,0.9440118079171718,0.9116565158484848
sub-r009s092_ses-1_space-MNI152NLin2009aSym,0.6787944244212121,0.7989511241767677,0.7667470306994949,0.9285286556868686,0.8394816735555556,0.8402219448181819
