subject,slice,dice,presision,recall,hausdorff_distance,time
sub-r038s040,129,1.0,1.0,1.0,0.0,1.4467012882232666
sub-r047s037,184,1.0,1.0,1.0,0.0,0.057237863540649414
sub-r040s047,169,1.0,1.0,1.0,0.0,0.054680585861206055
sub-r048s021,132,1.0,1.0,1.0,0.0,0.054409027099609375
sub-r010s007,64,1.0,1.0,1.0,0.0,0.05595755577087402
sub-r031s032,30,1.0,1.0,1.0,0.0,0.05413103103637695
sub-r004s019,9,1.0,1.0,1.0,0.0,0.05380868911743164
sub-r009s119,46,1.0,1.0,1.0,0.0,0.05358481407165527
sub-r003s010,180,1.0,1.0,1.0,0.0,0.05349922180175781
sub-r040s011,127,1.0,1.0,1.0,0.0,0.05356478691101074
sub-r046s006,32,1.0,1.0,1.0,0.0,0.05347466468811035
sub-r011s017,52,1.0,1.0,1.0,0.0,0.05353975296020508
sub-r040s011,13,1.0,1.0,1.0,0.0,0.05752110481262207
sub-r001s005,149,1.0,1.0,1.0,0.0,0.05409407615661621
sub-r040s048,159,1.0,1.0,1.0,0.0,0.05382490158081055
sub-r027s035,154,1.0,1.0,1.0,0.0,0.05332612991333008
sub-r005s026,123,1.0,1.0,1.0,0.0,0.05355668067932129
sub-r001s030,163,1.0,1.0,1.0,0.0,0.053185224533081055
sub-r009s052,91,1.0,1.0,1.0,0.0,0.05316305160522461
sub-r011s033,75,1.0,1.0,1.0,0.0,0.053339242935180664
sub-r040s072,136,1.0,1.0,1.0,0.0,0.056633949279785156
sub-r009s073,87,1.0,1.0,1.0,0.0,0.055776119232177734
sub-r005s049,143,1.0,1.0,1.0,0.0,0.0539097785949707
sub-r040s049,21,1.0,1.0,1.0,0.0,0.05383729934692383
sub-r040s049,83,1.0,1.0,1.0,0.0,0.053679704666137695
sub-r009s028,167,1.0,1.0,1.0,0.0,0.05356264114379883
sub-r040s011,156,1.0,1.0,1.0,0.0,0.05357217788696289
sub-r031s034,167,1.0,1.0,1.0,0.0,0.05344986915588379
sub-r047s006,117,1.0,1.0,1.0,0.0,0.05338239669799805
sub-r027s035,122,1.0,1.0,1.0,0.0,0.05719256401062012
sub-r029s010,100,1.0,1.0,1.0,0.0,0.05359053611755371
sub-r048s036,131,1.0,1.0,1.0,0.0,0.05372953414916992
sub-r004s019,186,1.0,1.0,1.0,0.0,0.053165435791015625
sub-r046s001,106,1.0,1.0,1.0,0.0,0.053386688232421875
sub-r010s007,135,1.0,1.0,1.0,0.0,0.053197383880615234
sub-r042s035,144,1.0,1.0,1.0,0.0,0.053411006927490234
sub-r048s015,3,1.0,1.0,1.0,0.0,0.053778648376464844
sub-r045s002,111,1.0,1.0,1.0,0.0,0.05354571342468262
sub-r048s006,106,1.0,1.0,1.0,0.0,0.056923627853393555
sub-r040s013,3,1.0,1.0,1.0,0.0,0.053415536880493164
sub-r010s008,49,1.0,1.0,1.0,0.0,0.053391218185424805
sub-r040s047,41,1.0,1.0,1.0,0.0,0.053499460220336914
sub-r005s058,144,1.0,1.0,1.0,0.0,0.05346846580505371
sub-r009s086,83,1.0,1.0,1.0,0.0,0.05334186553955078
sub-r017s106,147,1.0,1.0,1.0,0.0,0.053009748458862305
sub-r028s011,74,1.0,1.0,1.0,0.0,0.052747488021850586
sub-r042s025,182,1.0,1.0,1.0,0.0,0.052880287170410156
sub-r034s011,3,1.0,1.0,1.0,0.0,0.056938886642456055
sub-r052s015,184,1.0,1.0,1.0,0.0,0.05337929725646973
sub-r034s009,163,1.0,1.0,1.0,0.0,0.05328083038330078
sub-r011s033,129,1.0,1.0,1.0,0.0,0.05412578582763672
sub-r001s039,113,1.0,1.0,1.0,0.0,0.05288290977478027
sub-r052s010,184,1.0,1.0,1.0,0.0,0.05306673049926758
sub-r031s036,39,1.0,1.0,1.0,0.0,0.05312299728393555
sub-r009s002,157,1.0,1.0,1.0,0.0,0.053153276443481445
sub-r009s099,136,1.0,1.0,1.0,0.0,0.052846431732177734
sub-r027s015,140,1.0,1.0,1.0,0.0,0.05675554275512695
sub-r038s007,143,1.0,1.0,1.0,0.0,0.05347895622253418
sub-r009s065,55,1.0,1.0,1.0,0.0,0.0540013313293457
