subject,slice,dice,presision,recall,hausdorff_distance,time
sub-r038s017,10,1.0,1.0,1.0,0.0,1.2594211101531982
sub-r050s003,31,1.0,1.0,1.0,0.0,0.05728268623352051
sub-r047s043,24,1.0,1.0,1.0,0.0,0.05425548553466797
sub-r052s021,35,1.0,1.0,1.0,0.0,0.05499076843261719
sub-r047s014,51,1.0,1.0,1.0,0.0,0.05337023735046387
sub-r038s017,21,1.0,1.0,1.0,0.0,0.05593299865722656
sub-r010s023,69,1.0,1.0,1.0,0.0,0.05374956130981445
sub-r001s012,182,1.0,1.0,1.0,0.0,0.05394291877746582
sub-r048s022,66,1.0,1.0,1.0,0.0,0.05358171463012695
sub-r048s006,16,1.0,1.0,1.0,0.0,0.0540928840637207
sub-r052s011,49,1.0,1.0,1.0,0.0,0.05358457565307617
sub-r038s032,34,1.0,1.0,1.0,0.0,0.05385899543762207
sub-r011s014,167,1.0,1.0,1.0,0.0,0.05651974678039551
sub-r040s074,113,1.0,1.0,1.0,0.0,0.05402326583862305
sub-r003s003,39,1.0,1.0,1.0,0.0,0.053380727767944336
sub-r040s043,145,1.0,1.0,1.0,0.0,0.053405046463012695
sub-r034s003,176,1.0,1.0,1.0,0.0,0.05324888229370117
sub-r011s032,170,1.0,1.0,1.0,0.0,0.053652048110961914
sub-r031s009,129,0.4855792,0.6754271,0.3793358,0.25,0.05323219299316406
sub-r047s043,16,1.0,1.0,1.0,0.0,0.05336880683898926
sub-r011s015,129,0.015151516,1.0,0.015151516,0.058333334,0.053154945373535156
sub-r050s003,89,1.0,1.0,1.0,0.0,0.05737137794494629
sub-r004s021,18,1.0,1.0,1.0,0.0,0.053711891174316406
sub-r003s013,159,1.0,1.0,1.0,0.0,0.0536041259765625
sub-r009s049,126,1.0,1.0,1.0,0.0,0.05302000045776367
sub-r004s030,29,1.0,1.0,1.0,0.0,0.05327868461608887
sub-r004s030,52,1.0,1.0,1.0,0.0,0.05489397048950195
sub-r009s089,2,1.0,1.0,1.0,0.0,0.05331158638000488
sub-r003s013,56,0.04761905,1.0,0.04761905,0.029166667,0.05325198173522949
sub-r023s002,171,1.0,1.0,1.0,0.0,0.053319454193115234
sub-r038s068,150,0.083333336,0.083333336,1.0,0.016666668,0.05611777305603027
sub-r047s014,181,1.0,1.0,1.0,0.0,0.054019927978515625
sub-r024s008,7,1.0,1.0,1.0,0.0,0.05325770378112793
sub-r040s056,173,1.0,1.0,1.0,0.0,0.053334951400756836
sub-r005s075,64,1.0,1.0,1.0,0.0,0.05401301383972168
sub-r015s026,158,1.0,1.0,1.0,0.0,0.05339860916137695
sub-r009s046,62,1.0,1.0,1.0,0.0,0.05321168899536133
sub-r009s094,178,1.0,1.0,1.0,0.0,0.053571224212646484
sub-r009s105,105,1.0,1.0,1.0,0.0,0.05293631553649902
sub-r035s011,32,1.0,1.0,1.0,0.0,0.056398868560791016
sub-r047s001,83,1.0,1.0,1.0,0.0,0.05380415916442871
sub-r011s026,125,1.0,1.0,1.0,0.0,0.053728580474853516
sub-r048s039,5,1.0,1.0,1.0,0.0,0.05341529846191406
sub-r027s009,55,0.6630025,0.7776141,0.57799673,0.020833334,0.05333352088928223
sub-r014s015,114,1.0,1.0,1.0,0.0,0.052698612213134766
sub-r047s043,43,1.0,1.0,1.0,0.0,0.05349421501159668
sub-r010s007,29,1.0,1.0,1.0,0.0,0.05366349220275879
sub-r001s031,173,1.0,1.0,1.0,0.0,0.052957773208618164
sub-r042s025,25,0.004032258,1.0,0.004032258,0.0625,0.056331634521484375
sub-r038s048,29,1.0,1.0,1.0,0.0,0.05374908447265625
sub-r014s002,69,0.05263158,0.05263158,1.0,0.0375,0.05321335792541504
sub-r005s075,62,1.0,1.0,1.0,0.0,0.053299665451049805
sub-r038s068,47,1.0,1.0,1.0,0.0,0.05296897888183594
sub-r047s043,62,1.0,1.0,1.0,0.0,0.05309319496154785
sub-r015s016,100,1.0,1.0,1.0,0.0,0.05311417579650879
sub-r047s048,118,1.0,1.0,1.0,0.0,0.0534510612487793
sub-r048s038,67,0.71428573,0.57945204,0.93171805,0.0375,0.052629947662353516
sub-r040s074,135,1.0,1.0,1.0,0.0,0.0565943717956543
sub-r031s005,27,1.0,1.0,1.0,0.0,0.05350685119628906
sub-r001s030,70,0.278125,1.0,0.16304348,0.058333334,0.053644657135009766
sub-r009s105,27,1.0,1.0,1.0,0.0,0.05323505401611328
sub-r049s010,182,1.0,1.0,1.0,0.0,0.05310511589050293
sub-r001s013,105,1.0,1.0,1.0,0.0,0.05269813537597656
sub-r009s085,0,1.0,1.0,1.0,0.0,0.054250478744506836
sub-r049s010,19,1.0,1.0,1.0,0.0,0.053427696228027344
sub-r018s008,31,1.0,1.0,1.0,0.0,0.05331850051879883
sub-r048s038,78,0.125,1.0,0.125,0.0125,0.05667519569396973
sub-r003s011,12,1.0,1.0,1.0,0.0,0.05368804931640625
sub-r009s004,159,1.0,1.0,1.0,0.0,0.05335378646850586
sub-r015s026,34,1.0,1.0,1.0,0.0,0.05345726013183594
sub-r050s003,129,1.0,1.0,1.0,0.0,0.05283236503601074
sub-r001s002,41,1.0,1.0,1.0,0.0,0.053438425064086914
sub-r009s004,171,1.0,1.0,1.0,0.0,0.05300474166870117
sub-r042s025,56,0.5730654,0.92020375,0.41617608,0.1375,0.05309152603149414
sub-r014s015,136,0.04761905,0.06666667,0.14285715,0.025,0.05287456512451172
sub-r005s069,95,0.016666668,0.016666668,1.0,0.045833334,0.05649542808532715
sub-r047s017,64,0.00625,1.0,0.00625,0.058333334,0.053516387939453125
sub-r009s072,64,1.0,1.0,1.0,0.0,0.05356311798095703
sub-r009s004,138,1.0,1.0,1.0,0.0,0.0527646541595459
sub-r003s002,39,1.0,1.0,1.0,0.0,0.05300164222717285
sub-r009s051,75,1.0,1.0,1.0,0.0,0.05298304557800293
sub-r009s051,102,0.16666667,1.0,0.16666667,0.0125,0.052884578704833984
sub-r052s025,134,1.0,1.0,1.0,0.0,0.05293583869934082
sub-r004s001,42,1.0,1.0,1.0,0.0,0.05290722846984863
