subject,slice,dice,presision,recall,hausdorff_distance,time
sub-r040s008,124,1.0,1.0,1.0,0.0,0.562781810760498
sub-r009s064,164,1.0,1.0,1.0,0.0,0.0461430549621582
sub-r027s017,167,1.0,1.0,1.0,0.0,0.04414033889770508
sub-r035s011,174,1.0,1.0,1.0,0.0,0.04585695266723633
sub-r010s013,31,1.0,1.0,1.0,0.0,0.044049739837646484
sub-r049s011,11,1.0,1.0,1.0,0.0,0.043665170669555664
sub-r011s008,56,1.0,1.0,1.0,0.0,0.04349684715270996
sub-r042s011,6,1.0,1.0,1.0,0.0,0.043625593185424805
sub-r009s088,24,1.0,1.0,1.0,0.0,0.04332375526428223
sub-r009s053,6,1.0,1.0,1.0,0.0,0.047408103942871094
sub-r015s026,1,1.0,1.0,1.0,0.0,0.04326796531677246
sub-r001s001,41,1.0,1.0,1.0,0.0,0.04330801963806152
sub-r048s015,187,1.0,1.0,1.0,0.0,0.04284381866455078
sub-r038s032,5,1.0,1.0,1.0,0.0,0.04324793815612793
sub-r027s017,165,1.0,1.0,1.0,0.0,0.04292607307434082
sub-r031s016,40,1.0,1.0,1.0,0.0,0.04315948486328125
sub-r009s064,129,1.0,1.0,1.0,0.0,0.04311323165893555
sub-r003s006,96,1.0,1.0,1.0,0.0,0.04308056831359863
sub-r038s054,160,1.0,1.0,1.0,0.0,0.04659748077392578
sub-r001s010,158,1.0,1.0,1.0,0.0,0.04334115982055664
sub-r034s008,61,1.0,1.0,1.0,0.0,0.04285287857055664
sub-r010s029,179,1.0,1.0,1.0,0.0,0.04291081428527832
sub-r040s030,28,1.0,1.0,1.0,0.0,0.04287433624267578
sub-r034s008,104,1.0,1.0,1.0,0.0,0.042603254318237305
sub-r005s081,58,1.0,1.0,1.0,0.0,0.04315590858459473
sub-r009s029,183,1.0,1.0,1.0,0.0,0.043380022048950195
sub-r052s021,1,1.0,1.0,1.0,0.0,0.043187856674194336
sub-r011s032,158,1.0,1.0,1.0,0.0,0.04667496681213379
sub-r050s002,16,1.0,1.0,1.0,0.0,0.043060302734375
sub-r049s011,13,1.0,1.0,1.0,0.0,0.04305672645568848
sub-r052s010,148,1.0,1.0,1.0,0.0,0.04284334182739258
sub-r040s071,152,1.0,1.0,1.0,0.0,0.042884111404418945
sub-r047s015,155,1.0,1.0,1.0,0.0,0.04417920112609863
sub-r009s060,8,1.0,1.0,1.0,0.0,0.04271864891052246
sub-r009s053,72,1.0,1.0,1.0,0.0,0.042813777923583984
sub-r048s032,23,1.0,1.0,1.0,0.0,0.042634010314941406
sub-r005s068,34,1.0,1.0,1.0,0.0,0.046816110610961914
sub-r034s015,119,1.0,1.0,1.0,0.0,0.04325461387634277
sub-r010s010,144,1.0,1.0,1.0,0.0,0.04347825050354004
sub-r023s007,181,1.0,1.0,1.0,0.0,0.04320240020751953
sub-r015s016,164,1.0,1.0,1.0,0.0,0.043168067932128906
sub-r011s008,42,1.0,1.0,1.0,0.0,0.04264116287231445
sub-r042s011,153,1.0,1.0,1.0,0.0,0.042562246322631836
sub-r009s115,17,1.0,1.0,1.0,0.0,0.04285311698913574
sub-r042s011,122,1.0,1.0,1.0,0.0,0.042664289474487305
sub-r047s044,1,1.0,1.0,1.0,0.0,0.04700040817260742
sub-r001s012,66,1.0,1.0,1.0,0.0,0.043799400329589844
sub-r010s023,6,1.0,1.0,1.0,0.0,0.04307103157043457
sub-r004s013,163,1.0,1.0,1.0,0.0,0.04282569885253906
sub-r009s006,7,1.0,1.0,1.0,0.0,0.04266929626464844
sub-r018s008,36,1.0,1.0,1.0,0.0,0.04291725158691406
sub-r005s070,38,1.0,1.0,1.0,0.0,0.042996883392333984
sub-r010s023,152,1.0,1.0,1.0,0.0,0.043359994888305664
sub-r005s081,131,1.0,1.0,1.0,0.0,0.04301786422729492
sub-r009s017,127,1.0,1.0,1.0,0.0,0.04667973518371582
sub-r003s011,134,1.0,1.0,1.0,0.0,0.04318976402282715
sub-r015s009,119,1.0,1.0,1.0,0.0,0.04348325729370117
sub-r009s091,85,1.0,1.0,1.0,0.0,0.04307246208190918
sub-r009s072,12,1.0,1.0,1.0,0.0,0.04259967803955078
sub-r042s033,179,1.0,1.0,1.0,0.0,0.04280257225036621
sub-r004s008,24,1.0,1.0,1.0,0.0,0.04245805740356445
sub-r023s007,21,1.0,1.0,1.0,0.0,0.04422307014465332
sub-r040s064,2,1.0,1.0,1.0,0.0,0.04291272163391113
sub-r031s035,34,1.0,1.0,1.0,0.0,0.046688079833984375
sub-r001s033,54,1.0,1.0,1.0,0.0,0.044809818267822266
sub-r050s002,40,1.0,1.0,1.0,0.0,0.04303145408630371
sub-r011s008,3,1.0,1.0,1.0,0.0,0.04284930229187012
sub-r027s017,152,1.0,1.0,1.0,0.0,0.04269886016845703
sub-r027s048,21,1.0,1.0,1.0,0.0,0.04285931587219238
sub-r010s013,177,1.0,1.0,1.0,0.0,0.042758941650390625
sub-r009s072,143,1.0,1.0,1.0,0.0,0.04334449768066406
sub-r038s056,163,1.0,1.0,1.0,0.0,0.042910099029541016
sub-r048s043,21,1.0,1.0,1.0,0.0,0.04722857475280762
sub-r047s044,40,1.0,1.0,1.0,0.0,0.04379606246948242
sub-r002s005,106,1.0,1.0,1.0,0.0,0.04300522804260254
sub-r038s067,185,1.0,1.0,1.0,0.0,0.04291987419128418
sub-r011s019,18,1.0,1.0,1.0,0.0,0.04295754432678223
sub-r029s007,105,1.0,1.0,1.0,0.0,0.042645931243896484
sub-r002s005,156,1.0,1.0,1.0,0.0,0.0428318977355957
sub-r047s014,173,1.0,1.0,1.0,0.0,0.04284334182739258
sub-r009s050,159,1.0,1.0,1.0,0.0,0.0429844856262207
sub-r031s016,122,1.0,1.0,1.0,0.0,0.04702138900756836
sub-r009s125,7,1.0,1.0,1.0,0.0,0.04340720176696777
sub-r009s064,30,1.0,1.0,1.0,0.0,0.0429840087890625
sub-r040s064,17,1.0,1.0,1.0,0.0,0.04279828071594238
sub-r038s067,145,1.0,1.0,1.0,0.0,0.04275178909301758
sub-r042s011,131,1.0,1.0,1.0,0.0,0.043088436126708984
sub-r028s004,162,1.0,1.0,1.0,0.0,0.04277467727661133
sub-r001s001,185,1.0,1.0,1.0,0.0,0.04276084899902344
sub-r031s016,10,1.0,1.0,1.0,0.0,0.04293394088745117
sub-r031s025,51,1.0,1.0,1.0,0.0,0.04826045036315918
sub-r009s060,144,1.0,1.0,1.0,0.0,0.04340624809265137
sub-r009s064,154,1.0,1.0,1.0,0.0,0.04325413703918457
sub-r018s008,4,1.0,1.0,1.0,0.0,0.043222665786743164
sub-r040s054,37,1.0,1.0,1.0,0.0,0.04263591766357422
sub-r038s032,102,1.0,1.0,1.0,0.0,0.04264116287231445
sub-r028s012,81,1.0,1.0,1.0,0.0,0.042428016662597656
sub-r035s011,12,1.0,1.0,1.0,0.0,0.04262185096740723
sub-r002s012,129,1.0,1.0,1.0,0.0,0.042684316635131836
sub-r050s002,107,1.0,1.0,1.0,0.0,0.04787731170654297
sub-r010s009,3,1.0,1.0,1.0,0.0,0.04350137710571289
sub-r009s096,71,1.0,1.0,1.0,0.0,0.04351186752319336
sub-r015s009,44,1.0,1.0,1.0,0.0,0.043210506439208984
sub-r040s051,48,1.0,1.0,1.0,0.0,0.0426943302154541
sub-r052s021,161,1.0,1.0,1.0,0.0,0.04253745079040527
sub-r009s091,148,1.0,1.0,1.0,0.0,0.04317498207092285
sub-r034s006,167,1.0,1.0,1.0,0.0,0.04292154312133789
sub-r009s060,37,1.0,1.0,1.0,0.0,0.04297661781311035
sub-r004s023,73,1.0,1.0,1.0,0.0,0.04737210273742676
sub-r028s020,24,1.0,1.0,1.0,0.0,0.043416500091552734
sub-r028s012,47,1.0,1.0,1.0,0.0,0.04329204559326172
sub-r047s021,143,1.0,1.0,1.0,0.0,0.0428929328918457
sub-r040s001,177,1.0,1.0,1.0,0.0,0.04313158988952637
sub-r042s011,140,1.0,1.0,1.0,0.0,0.042754411697387695
sub-r035s011,2,1.0,1.0,1.0,0.0,0.04299187660217285
sub-r009s064,31,1.0,1.0,1.0,0.0,0.04288673400878906
sub-r031s031,164,1.0,1.0,1.0,0.0,0.043614864349365234
sub-r046s005,37,1.0,1.0,1.0,0.0,0.0483853816986084
sub-r011s015,23,1.0,1.0,1.0,0.0,0.04528665542602539
sub-r047s014,45,1.0,1.0,1.0,0.0,0.04381871223449707
sub-r040s002,41,1.0,1.0,1.0,0.0,0.04359745979309082
sub-r010s023,22,1.0,1.0,1.0,0.0,0.04276227951049805
sub-r031s028,162,1.0,1.0,1.0,0.0,0.04290437698364258
sub-r003s011,167,1.0,1.0,1.0,0.0,0.04300642013549805
sub-r010s029,75,1.0,1.0,1.0,0.0,0.042841434478759766
sub-r002s005,56,1.0,1.0,1.0,0.0,0.043030500411987305
sub-r034s006,58,1.0,1.0,1.0,0.0,0.04738593101501465
sub-r031s035,153,1.0,1.0,1.0,0.0,0.04374527931213379
sub-r004s017,1,1.0,1.0,1.0,0.0,0.042923927307128906
sub-r003s011,43,1.0,1.0,1.0,0.0,0.04291558265686035
sub-r015s009,178,1.0,1.0,1.0,0.0,0.0429379940032959
