subject,slice,dice,presision,recall,hausdorff_distance,time
sub-r029s010,10,1.0,1.0,1.0,0.0,0.6291594505310059
sub-r038s085,134,1.0,1.0,1.0,0.0,0.04845428466796875
sub-r050s015,45,1.0,1.0,1.0,0.0,0.04593920707702637
sub-r047s015,122,1.0,1.0,1.0,0.0,0.0466156005859375
sub-r048s038,53,1.0,1.0,1.0,0.0,0.04497838020324707
sub-r009s058,30,1.0,1.0,1.0,0.0,0.04479527473449707
sub-r005s081,170,1.0,1.0,1.0,0.0,0.04793596267700195
sub-r046s008,25,1.0,1.0,1.0,0.0,0.044449567794799805
sub-r028s026,52,1.0,1.0,1.0,0.0,0.0439150333404541
sub-r028s026,7,1.0,1.0,1.0,0.0,0.04472160339355469
sub-r005s081,4,1.0,1.0,1.0,0.0,0.04402875900268555
sub-r009s079,19,1.0,1.0,1.0,0.0,0.04351544380187988
sub-r052s019,31,1.0,1.0,1.0,0.0,0.048151254653930664
sub-r029s003,15,1.0,1.0,1.0,0.0,0.04329490661621094
sub-r009s001,186,1.0,1.0,1.0,0.0,0.04300832748413086
sub-r031s037,20,1.0,1.0,1.0,0.0,0.04866766929626465
sub-r004s009,83,1.0,1.0,1.0,0.0,0.04305267333984375
sub-r011s001,5,1.0,1.0,1.0,0.0,0.04317808151245117
sub-r009s066,88,1.0,1.0,1.0,0.0,0.04249930381774902
sub-r009s002,66,1.0,1.0,1.0,0.0,0.04236197471618652
sub-r009s002,158,1.0,1.0,1.0,0.0,0.04262423515319824
sub-r011s001,151,1.0,1.0,1.0,0.0,0.04241585731506348
sub-r004s036,37,1.0,1.0,1.0,0.0,0.04209709167480469
sub-r011s023,72,1.0,1.0,1.0,0.0,0.04225611686706543
sub-r040s001,83,1.0,1.0,1.0,0.0,0.04673051834106445
sub-r028s012,164,1.0,1.0,1.0,0.0,0.043264150619506836
sub-r024s013,140,1.0,1.0,1.0,0.0,0.0418550968170166
sub-r011s023,63,1.0,1.0,1.0,0.0,0.041552066802978516
sub-r009s079,166,1.0,1.0,1.0,0.0,0.04283714294433594
sub-r009s001,3,1.0,1.0,1.0,0.0,0.04158353805541992
sub-r031s036,137,1.0,1.0,1.0,0.0,0.04164457321166992
sub-r009s114,30,1.0,1.0,1.0,0.0,0.04199576377868652
sub-r009s002,180,1.0,1.0,1.0,0.0,0.04273366928100586
sub-r015s025,155,1.0,1.0,1.0,0.0,0.04614686965942383
sub-r031s036,180,1.0,1.0,1.0,0.0,0.041860342025756836
sub-r011s014,88,1.0,1.0,1.0,0.0,0.04288601875305176
sub-r009s030,23,1.0,1.0,1.0,0.0,0.041205644607543945
sub-r031s036,56,1.0,1.0,1.0,0.0,0.04156041145324707
sub-r048s038,69,1.0,1.0,1.0,0.0,0.041278839111328125
