subject,slice,dice,presision,recall,hausdorff_distance,time
sub-r023s002,173,1.0,1.0,1.0,0.0,0.5446610450744629
sub-r009s038,174,1.0,1.0,1.0,0.0,0.04458975791931152
sub-r040s013,13,1.0,1.0,1.0,0.0,0.042224884033203125
sub-r038s024,17,1.0,1.0,1.0,0.0,0.041907310485839844
sub-r001s018,84,1.0,1.0,1.0,0.0,0.041622161865234375
sub-r010s029,93,1.0,1.0,1.0,0.0,0.041875600814819336
sub-r040s078,99,1.0,1.0,1.0,0.0,0.044640302658081055
sub-r010s014,29,1.0,1.0,1.0,0.0,0.04147672653198242
sub-r042s015,22,1.0,1.0,1.0,0.0,0.04126572608947754
sub-r015s011,25,0.16666667,1.0,0.16666667,0.010416667,0.04104018211364746
sub-r009s076,22,1.0,1.0,1.0,0.0,0.04120016098022461
sub-r011s011,86,1.0,1.0,1.0,0.0,0.04082632064819336
sub-r034s036,55,1.0,1.0,1.0,0.0,0.0424189567565918
sub-r050s009,148,1.0,1.0,1.0,0.0,0.04473447799682617
sub-r040s044,44,1.0,1.0,1.0,0.0,0.04139351844787598
sub-r027s041,84,1.0,1.0,1.0,0.0,0.045250892639160156
sub-r010s005,55,1.0,1.0,1.0,0.0,0.04148054122924805
sub-r009s079,105,1.0,1.0,1.0,0.0,0.04126858711242676
sub-r001s024,28,1.0,1.0,1.0,0.0,0.04101896286010742
sub-r004s028,27,1.0,1.0,1.0,0.0,0.041167497634887695
sub-r009s122,127,1.0,1.0,1.0,0.0,0.04122519493103027
sub-r034s036,73,1.0,1.0,1.0,0.0,0.04077458381652832
sub-r027s015,70,0.013513514,1.0,0.013513514,0.088541664,0.04082345962524414
sub-r040s048,176,1.0,1.0,1.0,0.0,0.04100155830383301
sub-r050s006,48,1.0,1.0,1.0,0.0,0.04495978355407715
sub-r038s024,185,1.0,1.0,1.0,0.0,0.04183626174926758
sub-r031s026,0,1.0,1.0,1.0,0.0,0.041192054748535156
sub-r001s015,174,1.0,1.0,1.0,0.0,0.041558265686035156
sub-r040s086,36,1.0,1.0,1.0,0.0,0.040899038314819336
sub-r028s011,9,1.0,1.0,1.0,0.0,0.04107308387756348
sub-r031s023,187,1.0,1.0,1.0,0.0,0.0408785343170166
sub-r009s095,11,1.0,1.0,1.0,0.0,0.040921688079833984
sub-r031s003,19,1.0,1.0,1.0,0.0,0.04110574722290039
sub-r011s020,138,1.0,1.0,1.0,0.0,0.0452883243560791
sub-r010s003,103,1.0,1.0,1.0,0.0,0.04148149490356445
sub-r027s015,76,0.0015337423,1.0,0.0015337423,0.18229167,0.0415501594543457
sub-r009s013,129,1.0,1.0,1.0,0.0,0.04162740707397461
sub-r011s033,35,1.0,1.0,1.0,0.0,0.041497230529785156
sub-r049s012,123,1.0,1.0,1.0,0.0,0.04109764099121094
sub-r009s013,128,1.0,1.0,1.0,0.0,0.04133439064025879
sub-r001s023,135,1.0,1.0,1.0,0.0,0.04169631004333496
sub-r001s015,173,1.0,1.0,1.0,0.0,0.041306495666503906
sub-r001s018,97,1.0,1.0,1.0,0.0,0.047736167907714844
