subject,slice,dice,presision,recall,hausdorff_distance,time
sub-r040s008,124,1.0,1.0,1.0,0.0,0.9152379035949707
sub-r009s064,164,1.0,1.0,1.0,0.0,0.057898759841918945
sub-r027s017,167,1.0,1.0,1.0,0.0,0.05560493469238281
sub-r035s011,174,1.0,1.0,1.0,0.0,0.05463409423828125
sub-r010s013,31,1.0,1.0,1.0,0.0,0.050434112548828125
sub-r049s011,11,1.0,1.0,1.0,0.0,0.049475908279418945
sub-r011s008,56,1.0,1.0,1.0,0.0,0.05391097068786621
sub-r042s011,6,1.0,1.0,1.0,0.0,0.04718327522277832
sub-r009s088,24,1.0,1.0,1.0,0.0,0.05437469482421875
sub-r009s053,6,1.0,1.0,1.0,0.0,0.055826663970947266
sub-r015s026,1,0.032258064,0.032258064,1.0,0.024038462,0.05408978462219238
sub-r001s001,41,1.0,1.0,1.0,0.0,0.051110267639160156
sub-r048s015,187,1.0,1.0,1.0,0.0,0.05641651153564453
sub-r038s032,5,1.0,1.0,1.0,0.0,0.053505897521972656
sub-r027s017,165,1.0,1.0,1.0,0.0,0.055184364318847656
sub-r031s016,40,1.0,1.0,1.0,0.0,0.0568845272064209
sub-r009s064,129,1.0,1.0,1.0,0.0,0.049338340759277344
sub-r003s006,96,1.0,1.0,1.0,0.0,0.046903371810913086
sub-r038s054,160,1.0,1.0,1.0,0.0,0.05762314796447754
sub-r001s010,158,1.0,1.0,1.0,0.0,0.05504441261291504
sub-r034s008,61,1.0,1.0,1.0,0.0,0.051276206970214844
sub-r010s029,179,1.0,1.0,1.0,0.0,0.05498933792114258
sub-r040s030,28,1.0,1.0,1.0,0.0,0.04723525047302246
sub-r034s008,104,1.0,1.0,1.0,0.0,0.050560951232910156
sub-r005s081,58,1.0,1.0,1.0,0.0,0.05247664451599121
sub-r009s029,183,1.0,1.0,1.0,0.0,0.05306696891784668
sub-r052s021,1,1.0,1.0,1.0,0.0,0.05501961708068848
sub-r011s032,158,1.0,1.0,1.0,0.0,0.05632281303405762
sub-r050s002,16,1.0,1.0,1.0,0.0,0.05158376693725586
sub-r049s011,13,1.0,1.0,1.0,0.0,0.051393985748291016
sub-r052s010,148,1.0,1.0,1.0,0.0,0.05387115478515625
sub-r040s071,152,1.0,1.0,1.0,0.0,0.04686594009399414
sub-r047s015,155,1.0,1.0,1.0,0.0,0.04783153533935547
sub-r009s060,8,1.0,1.0,1.0,0.0,0.05016899108886719
sub-r009s053,72,1.0,1.0,1.0,0.0,0.05377626419067383
sub-r048s032,23,1.0,1.0,1.0,0.0,0.04898953437805176
sub-r005s068,34,1.0,1.0,1.0,0.0,0.05437946319580078
sub-r034s015,119,1.0,1.0,1.0,0.0,0.04716849327087402
sub-r010s010,144,1.0,1.0,1.0,0.0,0.054250240325927734
sub-r023s007,181,1.0,1.0,1.0,0.0,0.055548667907714844
sub-r015s016,164,1.0,1.0,1.0,0.0,0.05319070816040039
sub-r011s008,42,1.0,1.0,1.0,0.0,0.05401110649108887
sub-r042s011,153,1.0,1.0,1.0,0.0,0.051413774490356445
sub-r009s115,17,1.0,1.0,1.0,0.0,0.053998708724975586
sub-r042s011,122,1.0,1.0,1.0,0.0,0.05382990837097168
sub-r047s044,1,1.0,1.0,1.0,0.0,0.05733799934387207
sub-r001s012,66,1.0,1.0,1.0,0.0,0.05433845520019531
sub-r010s023,6,1.0,1.0,1.0,0.0,0.0525972843170166
