subject,slice,dice,presision,recall,hausdorff_distance,time
sub-r040s051,89,1.0,1.0,1.0,0.0,0.9049956798553467
sub-r010s013,91,1.0,1.0,1.0,0.0,0.0594327449798584
sub-r048s002,7,1.0,1.0,1.0,0.0,0.053493499755859375
sub-r038s058,19,1.0,1.0,1.0,0.0,0.053743839263916016
sub-r010s012,32,1.0,1.0,1.0,0.0,0.05453681945800781
sub-r011s034,1,1.0,1.0,1.0,0.0,0.05908679962158203
sub-r009s099,46,1.0,1.0,1.0,0.0,0.05574798583984375
sub-r005s049,44,1.0,1.0,1.0,0.0,0.056296586990356445
sub-r011s033,40,1.0,1.0,1.0,0.0,0.05489540100097656
sub-r004s031,186,1.0,1.0,1.0,0.0,0.05817604064941406
sub-r017s117,182,1.0,1.0,1.0,0.0,0.05631828308105469
sub-r031s016,44,1.0,1.0,1.0,0.0,0.055919647216796875
sub-r046s006,141,1.0,1.0,1.0,0.0,0.05670166015625
sub-r001s011,35,1.0,1.0,1.0,0.0,0.057860374450683594
sub-r011s033,119,1.0,1.0,1.0,0.0,0.061670541763305664
sub-r040s020,2,1.0,1.0,1.0,0.0,0.05792379379272461
sub-r011s034,13,1.0,1.0,1.0,0.0,0.056092023849487305
sub-r042s028,13,1.0,1.0,1.0,0.0,0.05885601043701172
sub-r049s010,99,1.0,1.0,1.0,0.0,0.05638265609741211
sub-r031s013,45,1.0,1.0,1.0,0.0,0.055109262466430664
sub-r031s021,83,1.0,1.0,1.0,0.0,0.05535292625427246
sub-r048s011,57,1.0,1.0,1.0,0.0,0.05498242378234863
sub-r011s029,83,1.0,1.0,1.0,0.0,0.054335832595825195
sub-r047s013,92,1.0,1.0,1.0,0.0,0.06042003631591797
sub-r011s028,186,1.0,1.0,1.0,0.0,0.0585172176361084
sub-r001s025,106,1.0,1.0,1.0,0.0,0.055150508880615234
sub-r034s012,26,1.0,1.0,1.0,0.0,0.05627131462097168
sub-r011s003,150,1.0,1.0,1.0,0.0,0.055330753326416016
sub-r031s023,42,1.0,1.0,1.0,0.0,0.055382728576660156
sub-r048s011,32,1.0,1.0,1.0,0.0,0.05364727973937988
sub-r048s014,135,1.0,1.0,1.0,0.0,0.05539965629577637
sub-r003s011,22,1.0,1.0,1.0,0.0,0.056524038314819336
sub-r034s046,19,1.0,1.0,1.0,0.0,0.05960202217102051
sub-r047s039,28,1.0,1.0,1.0,0.0,0.05570054054260254
sub-r029s003,25,1.0,1.0,1.0,0.0,0.04783296585083008
sub-r040s051,49,1.0,1.0,1.0,0.0,0.05357837677001953
sub-r047s039,178,1.0,1.0,1.0,0.0,0.05406975746154785
sub-r023s003,24,1.0,1.0,1.0,0.0,0.04584670066833496
sub-r040s051,5,1.0,1.0,1.0,0.0,0.0533750057220459
sub-r009s061,6,1.0,1.0,1.0,0.0,0.05931210517883301
sub-r038s069,71,1.0,1.0,1.0,0.0,0.05687379837036133
sub-r031s020,62,1.0,1.0,1.0,0.0,0.05995035171508789
sub-r038s006,184,1.0,1.0,1.0,0.0,0.056076765060424805
sub-r001s023,63,1.0,1.0,1.0,0.0,0.056801795959472656
sub-r038s058,152,1.0,1.0,1.0,0.0,0.0575098991394043
sub-r018s012,26,1.0,1.0,1.0,0.0,0.057244300842285156
sub-r015s008,57,1.0,1.0,1.0,0.0,0.05647158622741699
sub-r038s047,65,1.0,1.0,1.0,0.0,0.05701947212219238
sub-r001s020,13,1.0,1.0,1.0,0.0,0.05747485160827637
sub-r031s023,146,1.0,1.0,1.0,0.0,0.05539202690124512
sub-r038s058,148,1.0,1.0,1.0,0.0,0.05801558494567871
sub-r047s027,58,1.0,1.0,1.0,0.0,0.056075096130371094
sub-r048s006,123,1.0,1.0,1.0,0.0,0.053619384765625
sub-r015s006,42,1.0,1.0,1.0,0.0,0.05384254455566406
sub-r011s034,114,1.0,1.0,1.0,0.0,0.05321145057678223
sub-r047s031,64,1.0,1.0,1.0,0.0,0.05356788635253906
sub-r015s006,81,1.0,1.0,1.0,0.0,0.05472731590270996
sub-r001s018,186,1.0,1.0,1.0,0.0,0.05433964729309082
sub-r046s006,175,1.0,1.0,1.0,0.0,0.05612826347351074
sub-r003s011,18,1.0,1.0,1.0,0.0,0.05776643753051758
sub-r027s048,30,1.0,1.0,1.0,0.0,0.05674433708190918
sub-r011s034,3,1.0,1.0,1.0,0.0,0.05684041976928711
sub-r011s016,188,1.0,1.0,1.0,0.0,0.05763530731201172
sub-r009s095,49,1.0,1.0,1.0,0.0,0.05581259727478027
sub-r019s001,148,1.0,1.0,1.0,0.0,0.05729818344116211
sub-r028s011,91,1.0,1.0,1.0,0.0,0.0581207275390625
sub-r034s012,88,1.0,1.0,1.0,0.0,0.05616450309753418
sub-r001s028,182,1.0,1.0,1.0,0.0,0.06300115585327148
sub-r001s024,79,1.0,1.0,1.0,0.0,0.06255435943603516
sub-r004s005,166,1.0,1.0,1.0,0.0,0.058562278747558594
sub-r001s028,65,1.0,1.0,1.0,0.0,0.05853104591369629
sub-r034s046,141,1.0,1.0,1.0,0.0,0.057384490966796875
sub-r042s010,5,1.0,1.0,1.0,0.0,0.0573422908782959
sub-r038s026,137,1.0,1.0,1.0,0.0,0.05476689338684082
sub-r004s010,171,1.0,1.0,1.0,0.0,0.05367445945739746
