subject,slice,dice,presision,recall,hausdorff_distance,time
sub-r048s006,24,1.0,1.0,1.0,0.0,0.89589524269104
sub-r009s065,39,1.0,1.0,1.0,0.0,0.2415919303894043
sub-r027s001,9,1.0,1.0,1.0,0.0,0.05228066444396973
sub-r009s028,7,1.0,1.0,1.0,0.0,0.060312509536743164
sub-r048s036,172,1.0,1.0,1.0,0.0,0.058931827545166016
sub-r028s017,144,1.0,1.0,1.0,0.0,0.057680368423461914
sub-r038s068,100,1.0,1.0,1.0,0.0,0.05478692054748535
sub-r009s043,127,1.0,1.0,1.0,0.0,0.05991983413696289
sub-r023s008,44,1.0,1.0,1.0,0.0,0.05672025680541992
sub-r048s006,13,1.0,1.0,1.0,0.0,0.05892205238342285
sub-r002s005,173,1.0,1.0,1.0,0.0,0.05574941635131836
sub-r024s002,171,1.0,1.0,1.0,0.0,0.0551760196685791
sub-r004s022,176,1.0,1.0,1.0,0.0,0.050597429275512695
sub-r002s004,41,1.0,1.0,1.0,0.0,0.06036090850830078
sub-r050s003,108,1.0,1.0,1.0,0.0,0.054488182067871094
sub-r031s019,11,1.0,1.0,1.0,0.0,0.05547070503234863
sub-r004s010,11,1.0,1.0,1.0,0.0,0.04964756965637207
sub-r014s015,107,1.0,1.0,1.0,0.0,0.05490875244140625
sub-r038s018,132,1.0,1.0,1.0,0.0,0.055863380432128906
sub-r034s015,24,1.0,1.0,1.0,0.0,0.05610227584838867
sub-r038s054,93,1.0,1.0,1.0,0.0,0.04975748062133789
sub-r023s008,179,1.0,1.0,1.0,0.0,0.04997968673706055
sub-r028s020,89,1.0,1.0,1.0,0.0,0.05822253227233887
sub-r001s003,147,1.0,1.0,1.0,0.0,0.058483123779296875
sub-r024s008,4,1.0,1.0,1.0,0.0,0.05062723159790039
sub-r002s006,40,1.0,1.0,1.0,0.0,0.06021285057067871
sub-r004s021,173,1.0,1.0,1.0,0.0,0.04959511756896973
sub-r004s021,49,1.0,1.0,1.0,0.0,0.05720877647399902
sub-r031s019,162,1.0,1.0,1.0,0.0,0.05610179901123047
sub-r009s039,183,1.0,1.0,1.0,0.0,0.04984927177429199
sub-r005s026,133,1.0,1.0,1.0,0.0,0.0508875846862793
sub-r048s012,54,1.0,1.0,1.0,0.0,0.05346417427062988
sub-r009s039,62,1.0,1.0,1.0,0.0,0.04842233657836914
sub-r031s019,66,1.0,1.0,1.0,0.0,0.04997754096984863
sub-r024s002,25,1.0,1.0,1.0,0.0,0.05291557312011719
sub-r010s002,82,1.0,1.0,1.0,0.0,0.05839705467224121
sub-r009s013,66,1.0,1.0,1.0,0.0,0.05267620086669922
sub-r024s011,49,1.0,1.0,1.0,0.0,0.05367445945739746
sub-r004s030,178,1.0,1.0,1.0,0.0,0.05507850646972656
sub-r027s001,180,1.0,1.0,1.0,0.0,0.05462908744812012
sub-r001s039,136,1.0,1.0,1.0,0.0,0.055472373962402344
sub-r040s086,50,1.0,1.0,1.0,0.0,0.05452704429626465
sub-r009s113,117,1.0,1.0,1.0,0.0,0.05238032341003418
sub-r038s022,97,1.0,1.0,1.0,0.0,0.050889015197753906
sub-r047s044,76,1.0,1.0,1.0,0.0,0.05573773384094238
sub-r009s020,155,1.0,1.0,1.0,0.0,0.05492138862609863
sub-r003s003,41,1.0,1.0,1.0,0.0,0.048638343811035156
sub-r009s048,186,1.0,1.0,1.0,0.0,0.047270774841308594
sub-r002s011,58,1.0,1.0,1.0,0.0,0.05153512954711914
sub-r009s113,24,1.0,1.0,1.0,0.0,0.055706024169921875
sub-r009s043,188,1.0,1.0,1.0,0.0,0.051694631576538086
sub-r052s010,20,1.0,1.0,1.0,0.0,0.055110931396484375
sub-r040s046,176,1.0,1.0,1.0,0.0,0.05022263526916504
sub-r048s010,175,1.0,1.0,1.0,0.0,0.05508589744567871
sub-r034s022,84,1.0,1.0,1.0,0.0,0.04698896408081055
sub-r031s019,8,1.0,1.0,1.0,0.0,0.05398368835449219
sub-r002s001,32,1.0,1.0,1.0,0.0,0.04927492141723633
sub-r009s013,26,1.0,1.0,1.0,0.0,0.051522254943847656
sub-r002s011,75,1.0,1.0,1.0,0.0,0.04634594917297363
sub-r009s057,0,1.0,1.0,1.0,0.0,0.05608773231506348
sub-r009s039,13,1.0,1.0,1.0,0.0,0.05084371566772461
sub-r027s035,82,1.0,1.0,1.0,0.0,0.05372500419616699
sub-r048s036,57,1.0,1.0,1.0,0.0,0.05261540412902832
sub-r027s001,170,1.0,1.0,1.0,0.0,0.05252361297607422
sub-r004s010,163,1.0,1.0,1.0,0.0,0.053621768951416016
sub-r048s036,35,1.0,1.0,1.0,0.0,0.049387216567993164
sub-r038s068,65,1.0,1.0,1.0,0.0,0.047977447509765625
sub-r052s011,77,1.0,1.0,1.0,0.0,0.0472567081451416
sub-r040s064,78,1.0,1.0,1.0,0.0,0.0533604621887207
sub-r052s031,176,1.0,1.0,1.0,0.0,0.04973578453063965
sub-r009s043,52,1.0,1.0,1.0,0.0,0.04932808876037598
sub-r009s113,27,1.0,1.0,1.0,0.0,0.0491640567779541
sub-r031s033,52,1.0,1.0,1.0,0.0,0.04628181457519531
sub-r031s034,35,1.0,1.0,1.0,0.0,0.05210423469543457
sub-r040s046,55,1.0,1.0,1.0,0.0,0.0465238094329834
sub-r048s043,89,1.0,1.0,1.0,0.0,0.04751300811767578
sub-r038s067,29,1.0,1.0,1.0,0.0,0.05203580856323242
sub-r002s005,172,1.0,1.0,1.0,0.0,0.04581785202026367
sub-r009s039,165,1.0,1.0,1.0,0.0,0.0471193790435791
sub-r009s060,100,1.0,1.0,1.0,0.0,0.046868324279785156
sub-r024s011,42,1.0,1.0,1.0,0.0,0.046434879302978516
sub-r038s018,129,1.0,1.0,1.0,0.0,0.05051279067993164
sub-r009s073,148,1.0,1.0,1.0,0.0,0.04780745506286621
sub-r034s015,136,1.0,1.0,1.0,0.0,0.05410051345825195
sub-r023s017,177,1.0,1.0,1.0,0.0,0.04806637763977051
sub-r009s013,56,1.0,1.0,1.0,0.0,0.05329084396362305
sub-r027s032,78,1.0,1.0,1.0,0.0,0.045977115631103516
sub-r038s068,158,1.0,1.0,1.0,0.0,0.05138659477233887
sub-r004s010,22,1.0,1.0,1.0,0.0,0.0482485294342041
sub-r004s015,76,1.0,1.0,1.0,0.0,0.05404949188232422
sub-r031s019,52,1.0,1.0,1.0,0.0,0.04694700241088867
sub-r027s052,118,1.0,1.0,1.0,0.0,0.05218696594238281
sub-r009s064,62,1.0,1.0,1.0,0.0,0.05239725112915039
sub-r005s055,67,1.0,1.0,1.0,0.0,0.049530029296875
sub-r040s044,24,1.0,1.0,1.0,0.0,0.05311298370361328
sub-r011s026,72,1.0,1.0,1.0,0.0,0.04910922050476074
sub-r029s009,56,1.0,1.0,1.0,0.0,0.04616951942443848
sub-r048s043,84,1.0,1.0,1.0,0.0,0.0479583740234375
sub-r029s004,158,1.0,1.0,1.0,0.0,0.046120643615722656
sub-r034s015,36,1.0,1.0,1.0,0.0,0.047080039978027344
sub-r023s003,22,1.0,1.0,1.0,0.0,0.046708106994628906
sub-r009s013,32,1.0,1.0,1.0,0.0,0.04917788505554199
sub-r004s012,45,1.0,1.0,1.0,0.0,0.051070213317871094
sub-r048s010,25,1.0,1.0,1.0,0.0,0.04738903045654297
sub-r031s028,180,1.0,1.0,1.0,0.0,0.04560232162475586
sub-r005s055,130,1.0,1.0,1.0,0.0,0.04562497138977051
sub-r001s003,180,1.0,1.0,1.0,0.0,0.04913640022277832
sub-r009s065,101,1.0,1.0,1.0,0.0,0.04614710807800293
sub-r009s043,24,1.0,1.0,1.0,0.0,0.04552006721496582
sub-r048s006,1,1.0,1.0,1.0,0.0,0.045703887939453125
sub-r038s060,20,1.0,1.0,1.0,0.0,0.04947042465209961
sub-r024s012,177,1.0,1.0,1.0,0.0,0.05050230026245117
sub-r034s021,39,1.0,1.0,1.0,0.0,0.045703887939453125
sub-r048s010,157,1.0,1.0,1.0,0.0,0.04732656478881836
sub-r047s036,6,1.0,1.0,1.0,0.0,0.049147605895996094
sub-r031s019,168,1.0,1.0,1.0,0.0,0.050271034240722656
sub-r038s067,154,1.0,1.0,1.0,0.0,0.050994157791137695
sub-r001s003,28,1.0,1.0,1.0,0.0,0.053056955337524414
sub-r038s018,62,1.0,1.0,1.0,0.0,0.045747995376586914
sub-r004s028,13,1.0,1.0,1.0,0.0,0.04537701606750488
sub-r005s026,58,1.0,1.0,1.0,0.0,0.049384117126464844
sub-r009s065,2,1.0,1.0,1.0,0.0,0.047968149185180664
sub-r010s007,163,1.0,1.0,1.0,0.0,0.05289602279663086
sub-r027s035,58,1.0,1.0,1.0,0.0,0.05124354362487793
sub-r027s023,148,1.0,1.0,1.0,0.0,0.04637956619262695
sub-r010s007,188,1.0,1.0,1.0,0.0,0.05056595802307129
sub-r011s030,109,1.0,1.0,1.0,0.0,0.05153608322143555
sub-r015s016,94,1.0,1.0,1.0,0.0,0.055896759033203125
sub-r009s028,1,1.0,1.0,1.0,0.0,0.04543352127075195
sub-r028s017,99,1.0,1.0,1.0,0.0,0.053804636001586914
sub-r034s022,186,1.0,1.0,1.0,0.0,0.045224905014038086
sub-r038s082,124,1.0,1.0,1.0,0.0,0.04987668991088867
sub-r010s002,29,1.0,1.0,1.0,0.0,0.048110008239746094
sub-r010s001,122,1.0,1.0,1.0,0.0,0.049549102783203125
sub-r004s028,14,1.0,1.0,1.0,0.0,0.05873417854309082
sub-r048s010,2,1.0,1.0,1.0,0.0,0.055113792419433594
sub-r005s026,30,1.0,1.0,1.0,0.0,0.05187535285949707
sub-r004s015,24,1.0,1.0,1.0,0.0,0.049813032150268555
sub-r052s010,12,1.0,1.0,1.0,0.0,0.05013680458068848
sub-r046s007,47,1.0,1.0,1.0,0.0,0.053107500076293945
sub-r024s005,151,1.0,1.0,1.0,0.0,0.05124020576477051
sub-r048s043,87,1.0,1.0,1.0,0.0,0.04524588584899902
sub-r038s018,146,1.0,1.0,1.0,0.0,0.04676413536071777
sub-r048s029,17,1.0,1.0,1.0,0.0,0.05465340614318848
sub-r009s014,44,1.0,1.0,1.0,0.0,0.04854083061218262
sub-r014s015,19,1.0,1.0,1.0,0.0,0.04696226119995117
sub-r046s007,160,1.0,1.0,1.0,0.0,0.04564857482910156
sub-r001s034,48,1.0,1.0,1.0,0.0,0.04693436622619629
sub-r040s086,12,1.0,1.0,1.0,0.0,0.04508805274963379
sub-r047s036,0,1.0,1.0,1.0,0.0,0.045778512954711914
sub-r042s033,22,1.0,1.0,1.0,0.0,0.04525613784790039
sub-r009s043,88,1.0,1.0,1.0,0.0,0.05003523826599121
sub-r048s037,58,1.0,1.0,1.0,0.0,0.0458378791809082
sub-r038s040,95,1.0,1.0,1.0,0.0,0.051604270935058594
sub-r001s010,20,1.0,1.0,1.0,0.0,0.04591178894042969
sub-r047s006,101,1.0,1.0,1.0,0.0,0.049072265625
sub-r009s009,187,1.0,1.0,1.0,0.0,0.04519486427307129
sub-r024s011,30,1.0,1.0,1.0,0.0,0.0514988899230957
sub-r052s011,7,1.0,1.0,1.0,0.0,0.05214881896972656
sub-r002s006,41,1.0,1.0,1.0,0.0,0.051796674728393555
sub-r031s013,56,1.0,1.0,1.0,0.0,0.04865097999572754
sub-r017s110,52,1.0,1.0,1.0,0.0,0.05462527275085449
sub-r009s009,23,1.0,1.0,1.0,0.0,0.0455622673034668
sub-r009s065,32,1.0,1.0,1.0,0.0,0.05322003364562988
sub-r024s005,180,1.0,1.0,1.0,0.0,0.05144786834716797
sub-r029s004,149,1.0,1.0,1.0,0.0,0.05514049530029297
sub-r034s015,68,1.0,1.0,1.0,0.0,0.051573991775512695
sub-r010s014,30,1.0,1.0,1.0,0.0,0.052371978759765625
sub-r047s014,100,1.0,1.0,1.0,0.0,0.05089402198791504
sub-r031s028,178,1.0,1.0,1.0,0.0,0.0498807430267334
sub-r049s016,27,1.0,1.0,1.0,0.0,0.04661369323730469
sub-r035s013,25,1.0,1.0,1.0,0.0,0.05054473876953125
sub-r002s004,35,1.0,1.0,1.0,0.0,0.045410871505737305
sub-r023s003,11,1.0,1.0,1.0,0.0,0.0508570671081543
sub-r023s008,14,1.0,1.0,1.0,0.0,0.04550933837890625
sub-r002s011,187,1.0,1.0,1.0,0.0,0.046724557876586914
sub-r009s043,134,1.0,1.0,1.0,0.0,0.05105996131896973
sub-r031s013,41,1.0,1.0,1.0,0.0,0.052683353424072266
sub-r009s064,10,1.0,1.0,1.0,0.0,0.046439170837402344
sub-r050s003,23,1.0,1.0,1.0,0.0,0.04945516586303711
