subject,slice,dice,presision,recall,hausdorff_distance,time
sub-r048s010,177,1.0,1.0,1.0,0.0,1.4768452644348145
sub-r027s017,94,1.0,1.0,1.0,0.0,0.057114362716674805
sub-r019s012,170,1.0,1.0,1.0,0.0,0.05569815635681152
sub-r010s002,93,1.0,1.0,1.0,0.0,0.05475115776062012
sub-r009s102,60,0.5,1.0,0.5,0.004166667,0.05341529846191406
sub-r038s033,178,1.0,1.0,1.0,0.0,0.05355691909790039
sub-r005s070,75,1.0,1.0,1.0,0.0,0.05354428291320801
sub-r009s114,82,1.0,1.0,1.0,0.0,0.055104970932006836
sub-r017s118,10,1.0,1.0,1.0,0.0,0.05511760711669922
sub-r004s024,184,1.0,1.0,1.0,0.0,0.053765058517456055
sub-r048s037,14,1.0,1.0,1.0,0.0,0.054290771484375
sub-r028s005,56,0.6195652,0.85294116,0.4915254,0.041666668,0.05427098274230957
sub-r031s011,9,1.0,1.0,1.0,0.0,0.05327415466308594
sub-r038s056,70,1.0,1.0,1.0,0.0,0.053131103515625
sub-r004s031,29,1.0,1.0,1.0,0.0,0.052684783935546875
sub-r052s021,57,0.003236246,1.0,0.003236246,0.1,0.05496668815612793
sub-r004s025,165,0.003012048,0.003012048,1.0,0.079166666,0.05531430244445801
sub-r031s019,155,1.0,1.0,1.0,0.0,0.05559086799621582
sub-r009s102,66,0.016949153,1.0,0.016949153,0.05,0.05394935607910156
sub-r011s024,28,1.0,1.0,1.0,0.0,0.05577874183654785
sub-r040s032,15,1.0,1.0,1.0,0.0,0.05497622489929199
sub-r009s061,74,0.021276595,0.09090909,0.027027028,0.045833334,0.0533292293548584
sub-r004s015,24,1.0,1.0,1.0,0.0,0.052762746810913086
sub-r052s021,1,1.0,1.0,1.0,0.0,0.053900718688964844
sub-r049s016,150,1.0,1.0,1.0,0.0,0.05451679229736328
sub-r005s046,21,1.0,1.0,1.0,0.0,0.05539059638977051
sub-r028s005,172,1.0,1.0,1.0,0.0,0.055139780044555664
sub-r011s008,103,1.0,1.0,1.0,0.0,0.0527956485748291
sub-r023s001,1,1.0,1.0,1.0,0.0,0.056575775146484375
sub-r001s008,33,1.0,1.0,1.0,0.0,0.05275082588195801
sub-r019s012,148,1.0,1.0,1.0,0.0,0.054929256439208984
sub-r009s114,47,1.0,1.0,1.0,0.0,0.05280876159667969
sub-r048s002,1,1.0,1.0,1.0,0.0,0.054056406021118164
sub-r001s010,71,1.0,1.0,1.0,0.0,0.0542302131652832
sub-r009s050,184,1.0,1.0,1.0,0.0,0.05435776710510254
sub-r005s045,52,1.0,1.0,1.0,0.0,0.05608773231506348
sub-r011s024,110,1.0,1.0,1.0,0.0,0.05440235137939453
sub-r038s085,11,1.0,1.0,1.0,0.0,0.054517507553100586
sub-r019s012,41,1.0,1.0,1.0,0.0,0.053575992584228516
sub-r040s002,47,1.0,1.0,1.0,0.0,0.053877830505371094
sub-r038s054,42,1.0,1.0,1.0,0.0,0.054187774658203125
sub-r052s021,32,1.0,1.0,1.0,0.0,0.05452370643615723
sub-r009s126,17,1.0,1.0,1.0,0.0,0.05536675453186035
sub-r004s027,1,1.0,1.0,1.0,0.0,0.05634951591491699
sub-r009s102,8,1.0,1.0,1.0,0.0,0.054088592529296875
sub-r034s015,97,1.0,1.0,1.0,0.0,0.05317068099975586
sub-r004s031,79,0.30246913,1.0,0.18115942,0.07083333,0.05464291572570801
sub-r034s006,169,1.0,1.0,1.0,0.0,0.053722381591796875
sub-r048s010,178,1.0,1.0,1.0,0.0,0.05023598670959473
sub-r002s011,11,1.0,1.0,1.0,0.0,0.05391693115234375
sub-r048s010,144,1.0,1.0,1.0,0.0,0.05263376235961914
sub-r048s010,159,1.0,1.0,1.0,0.0,0.05505967140197754
sub-r046s011,7,1.0,1.0,1.0,0.0,0.0568842887878418
sub-r048s036,165,1.0,1.0,1.0,0.0,0.05399608612060547
sub-r042s029,0,1.0,1.0,1.0,0.0,0.05584859848022461
sub-r050s005,144,1.0,1.0,1.0,0.0,0.053469181060791016
sub-r050s005,91,1.0,1.0,1.0,0.0,0.053591251373291016
sub-r019s007,33,1.0,1.0,1.0,0.0,0.0541377067565918
sub-r004s031,167,1.0,1.0,1.0,0.0,0.053807735443115234
sub-r004s015,30,1.0,1.0,1.0,0.0,0.05323624610900879
sub-r010s002,76,0.9111111,0.9447514,0.8799314,0.016666668,0.054381370544433594
sub-r011s024,31,1.0,1.0,1.0,0.0,0.054433584213256836
sub-r029s003,169,1.0,1.0,1.0,0.0,0.05532383918762207
sub-r027s035,19,1.0,1.0,1.0,0.0,0.05374336242675781
sub-r001s019,50,1.0,1.0,1.0,0.0,0.05276846885681152
sub-r044s002,14,1.0,1.0,1.0,0.0,0.054229736328125
sub-r024s005,161,1.0,1.0,1.0,0.0,0.05464673042297363
sub-r001s034,91,1.0,1.0,1.0,0.0,0.05244922637939453
sub-r034s014,108,1.0,1.0,1.0,0.0,0.054001569747924805
sub-r038s054,19,1.0,1.0,1.0,0.0,0.05393862724304199
sub-r040s002,18,1.0,1.0,1.0,0.0,0.055316925048828125
sub-r003s015,163,1.0,1.0,1.0,0.0,0.05407977104187012
sub-r040s070,172,1.0,1.0,1.0,0.0,0.05408000946044922
sub-r050s015,32,1.0,1.0,1.0,0.0,0.054213523864746094
sub-r009s045,97,1.0,1.0,1.0,0.0,0.05374789237976074
sub-r002s011,50,0.8891967,0.86096257,0.92,0.004166667,0.05279374122619629
sub-r004s025,48,1.0,1.0,1.0,0.0,0.05377197265625
sub-r005s070,76,1.0,1.0,1.0,0.0,0.05323362350463867
sub-r040s070,20,1.0,1.0,1.0,0.0,0.0537114143371582
sub-r009s029,45,1.0,1.0,1.0,0.0,0.054938554763793945
sub-r047s037,25,1.0,1.0,1.0,0.0,0.05317425727844238
sub-r009s045,68,0.0121951215,1.0,0.0121951215,0.041666668,0.05481076240539551
sub-r009s078,4,1.0,1.0,1.0,0.0,0.05657839775085449
sub-r048s006,23,1.0,1.0,1.0,0.0,0.053743600845336914
sub-r009s040,12,1.0,1.0,1.0,0.0,0.053113698959350586
sub-r031s036,156,0.016666668,0.016666668,1.0,0.0375,0.05414772033691406
sub-r049s016,141,1.0,1.0,1.0,0.0,0.05478978157043457
sub-r049s007,105,0.071428575,0.25,0.09090909,0.016666668,0.053922176361083984
sub-r024s003,158,1.0,1.0,1.0,0.0,0.05360102653503418
sub-r017s118,165,1.0,1.0,1.0,0.0,0.05474090576171875
sub-r004s025,0,1.0,1.0,1.0,0.0,0.05485725402832031
sub-r023s001,56,0.2,1.0,0.2,0.0125,0.05380392074584961
sub-r002s001,68,0.7773252,0.9778157,0.6452703,0.029166667,0.05317854881286621
sub-r004s015,56,1.0,1.0,1.0,0.0,0.05346965789794922
sub-r003s015,139,1.0,1.0,1.0,0.0,0.05459737777709961
sub-r034s015,31,1.0,1.0,1.0,0.0,0.05180501937866211
sub-r024s003,161,1.0,1.0,1.0,0.0,0.05403256416320801
sub-r017s118,41,1.0,1.0,1.0,0.0,0.05563831329345703
sub-r005s070,148,1.0,1.0,1.0,0.0,0.054473161697387695
