subject,slice,dice,presision,recall,hausdorff_distance,time
sub-r009s032,37,1.0,1.0,1.0,0.0,0.6417768001556396
sub-r023s009,173,1.0,1.0,1.0,0.0,0.04570150375366211
sub-r001s032,57,1.0,1.0,1.0,0.0,0.04343748092651367
sub-r052s014,104,1.0,1.0,1.0,0.0,0.04447627067565918
sub-r004s019,15,1.0,1.0,1.0,0.0,0.04259991645812988
sub-r042s021,41,1.0,1.0,1.0,0.0,0.04240059852600098
sub-r042s035,170,1.0,1.0,1.0,0.0,0.042446136474609375
sub-r040s042,72,1.0,1.0,1.0,0.0,0.04227948188781738
sub-r038s040,59,1.0,1.0,1.0,0.0,0.04256248474121094
sub-r040s042,6,1.0,1.0,1.0,0.0,0.04222440719604492
sub-r015s001,29,1.0,1.0,1.0,0.0,0.04169344902038574
sub-r003s014,165,1.0,1.0,1.0,0.0,0.04274940490722656
sub-r010s023,53,1.0,1.0,1.0,0.0,0.040952444076538086
sub-r009s115,18,1.0,1.0,1.0,0.0,0.04059720039367676
sub-r009s097,102,1.0,1.0,1.0,0.0,0.040332794189453125
sub-r038s040,16,1.0,1.0,1.0,0.0,0.042083024978637695
sub-r035s011,44,1.0,1.0,1.0,0.0,0.04161262512207031
sub-r023s009,175,1.0,1.0,1.0,0.0,0.040708303451538086
sub-r029s003,69,1.0,1.0,1.0,0.0,0.0402987003326416
sub-r014s002,87,1.0,1.0,1.0,0.0,0.042394161224365234
sub-r009s009,147,1.0,1.0,1.0,0.0,0.04033517837524414
sub-r005s076,49,1.0,1.0,1.0,0.0,0.04010367393493652
sub-r009s072,64,1.0,1.0,1.0,0.0,0.04138827323913574
sub-r052s023,172,1.0,1.0,1.0,0.0,0.040170907974243164
sub-r003s008,18,1.0,1.0,1.0,0.0,0.041570425033569336
sub-r004s019,51,1.0,1.0,1.0,0.0,0.040845394134521484
sub-r034s007,39,1.0,1.0,1.0,0.0,0.04032588005065918
sub-r050s002,145,0.5,0.5,1.0,0.0048076925,0.04184722900390625
sub-r005s077,90,1.0,1.0,1.0,0.0,0.03998255729675293
sub-r005s076,44,1.0,1.0,1.0,0.0,0.03988027572631836
sub-r040s044,56,0.125,0.125,1.0,0.014423077,0.039856910705566406
sub-r010s023,92,1.0,1.0,1.0,0.0,0.03997302055358887
sub-r011s012,35,1.0,1.0,1.0,0.0,0.040386199951171875
sub-r018s007,45,1.0,1.0,1.0,0.0,0.04118514060974121
sub-r009s021,74,1.0,1.0,1.0,0.0,0.040453195571899414
