subject,slice,dice,presision,recall,hausdorff_distance,time
sub-r038s017,10,1.0,1.0,1.0,0.0,0.5602271556854248
sub-r050s003,31,1.0,1.0,1.0,0.0,0.04333233833312988
sub-r047s043,24,1.0,1.0,1.0,0.0,0.042139291763305664
sub-r052s021,35,1.0,1.0,1.0,0.0,0.04072690010070801
sub-r047s014,51,1.0,1.0,1.0,0.0,0.04071331024169922
sub-r038s017,21,1.0,1.0,1.0,0.0,0.04045987129211426
sub-r010s023,69,1.0,1.0,1.0,0.0,0.04028201103210449
sub-r001s012,182,1.0,1.0,1.0,0.0,0.04186058044433594
sub-r048s022,66,1.0,1.0,1.0,0.0,0.040212154388427734
sub-r048s006,16,1.0,1.0,1.0,0.0,0.04027962684631348
sub-r052s011,49,1.0,1.0,1.0,0.0,0.0400080680847168
sub-r038s032,34,1.0,1.0,1.0,0.0,0.043540239334106445
sub-r011s014,167,1.0,1.0,1.0,0.0,0.040810346603393555
sub-r040s074,113,0.025641026,0.025641026,1.0,0.029166667,0.04045224189758301
sub-r003s003,39,1.0,1.0,1.0,0.0,0.04034066200256348
sub-r040s043,145,1.0,1.0,1.0,0.0,0.040247201919555664
sub-r034s003,176,1.0,1.0,1.0,0.0,0.0399625301361084
sub-r011s032,170,1.0,1.0,1.0,0.0,0.04014849662780762
sub-r031s009,129,0.00073800737,1.0,0.00073800737,0.3875,0.04012799263000488
sub-r047s043,16,1.0,1.0,1.0,0.0,0.040343523025512695
sub-r011s015,129,0.015151516,1.0,0.015151516,0.058333334,0.044465065002441406
sub-r050s003,89,1.0,1.0,1.0,0.0,0.04400491714477539
sub-r004s021,18,1.0,1.0,1.0,0.0,0.04080533981323242
sub-r003s013,159,1.0,1.0,1.0,0.0,0.040758609771728516
sub-r009s049,126,1.0,1.0,1.0,0.0,0.040390729904174805
sub-r004s030,29,1.0,1.0,1.0,0.0,0.04044389724731445
sub-r004s030,52,1.0,1.0,1.0,0.0,0.0402066707611084
sub-r009s089,2,1.0,1.0,1.0,0.0,0.04032492637634277
