subject,slice,dice,presision,recall,hausdorff_distance,time
sub-r048s010,177,1.0,1.0,1.0,0.0,0.8566243648529053
sub-r027s017,94,1.0,1.0,1.0,0.0,0.03837084770202637
sub-r019s012,170,1.0,1.0,1.0,0.0,0.03642606735229492
sub-r010s002,93,1.0,1.0,1.0,0.0,0.03577613830566406
sub-r009s102,60,0.5,1.0,0.5,0.004166667,0.03580594062805176
sub-r038s033,178,1.0,1.0,1.0,0.0,0.03566789627075195
sub-r005s070,75,1.0,1.0,1.0,0.0,0.03593778610229492
sub-r009s114,82,1.0,1.0,1.0,0.0,0.03577256202697754
sub-r017s118,10,1.0,1.0,1.0,0.0,0.03595423698425293
sub-r004s024,184,1.0,1.0,1.0,0.0,0.03904080390930176
sub-r048s037,14,1.0,1.0,1.0,0.0,0.03609061241149902
sub-r028s005,56,0.014925373,0.11111111,0.016949153,0.075,0.035927772521972656
sub-r031s011,9,1.0,1.0,1.0,0.0,0.035857439041137695
sub-r038s056,70,0.2,0.2,1.0,0.008333334,0.035852670669555664
sub-r004s031,29,1.0,1.0,1.0,0.0,0.035744428634643555
sub-r052s021,57,0.8487874,0.7582697,0.9644013,0.008333334,0.0357518196105957
sub-r004s025,165,0.0018348624,0.0018348624,1.0,0.13333334,0.036023616790771484
sub-r031s019,155,1.0,1.0,1.0,0.0,0.036243438720703125
sub-r009s102,66,0.016949153,1.0,0.016949153,0.05,0.03941702842712402
sub-r011s024,28,1.0,1.0,1.0,0.0,0.03624439239501953
sub-r040s032,15,1.0,1.0,1.0,0.0,0.035930633544921875
sub-r009s061,74,0.027027028,1.0,0.027027028,0.033333335,0.03602123260498047
sub-r004s015,24,1.0,1.0,1.0,0.0,0.03555703163146973
sub-r052s021,1,1.0,1.0,1.0,0.0,0.03565573692321777
sub-r049s016,150,1.0,1.0,1.0,0.0,0.0360112190246582
sub-r005s046,21,1.0,1.0,1.0,0.0,0.035784006118774414
sub-r028s005,172,1.0,1.0,1.0,0.0,0.036010026931762695
sub-r011s008,103,1.0,1.0,1.0,0.0,0.0394129753112793
sub-r023s001,1,1.0,1.0,1.0,0.0,0.03725695610046387
sub-r001s008,33,1.0,1.0,1.0,0.0,0.036254167556762695
sub-r019s012,148,1.0,1.0,1.0,0.0,0.03612327575683594
